"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","VSWR(1) []"
-0.375,-0.4,60,1.8,14.1937140960192
-0.375,-0.4,70,1.8,14.3673646396819
-0.375,-0.4,80,1.8,14.4672801444733
-0.375,-0.4,90,1.8,14.5014879257228
-0.375,-0.4,100,1.8,14.2699979280899
-0.375,-0.375,60,1.8,13.2487776557656
-0.375,-0.375,70,1.8,13.3574831560157
-0.375,-0.375,80,1.8,13.4297851737094
-0.375,-0.375,90,1.8,13.4696997133381
-0.375,-0.375,100,1.8,13.5141280490999
-0.375,0.625,60,1.8,9.47870671760803
-0.375,0.625,70,1.8,9.62236768051765
-0.375,0.625,80,1.8,9.61402399181286
-0.375,0.625,90,1.8,9.65406596388744
-0.375,0.625,100,1.8,9.66260107432775
-0.375,1.625,60,1.8,9.16060330541946
-0.375,1.625,70,1.8,9.28810710834433
-0.375,1.625,80,1.8,9.24976056794756
-0.375,1.625,90,1.8,9.27132723840908
-0.375,1.625,100,1.8,9.34721633395672
-0.375,2.625,60,1.8,9.11844308658589
-0.375,2.625,70,1.8,9.19867147481026
-0.375,2.625,80,1.8,9.18585628108672
-0.375,2.625,90,1.8,9.30191315544562
-0.375,2.625,100,1.8,9.53181649874997
-0.375,3.625,50,1.8,9.08377535086491
-0.375,3.625,60,1.8,9.10686042187209
-0.375,3.625,70,1.8,9.0002855926688
-0.375,3.625,80,1.8,9.18692162759302
-0.375,3.625,90,1.8,9.14614189582706
-0.375,3.625,100,1.8,9.27705952629308
-0.375,4.625,50,1.8,5.68052794003743
-0.375,4.625,60,1.8,5.42313507429862
-0.375,4.625,70,1.8,5.54920993093968
-0.375,4.625,80,1.8,5.65904424121348
-0.375,4.625,90,1.8,5.56935148397486
-0.375,4.625,100,1.8,5.60356775205529
-0.375,5.625,50,1.8,5.3303146772506
-0.375,5.625,60,1.8,5.39781810730414
-0.375,5.625,70,1.8,5.45029802435636
-0.375,5.625,80,1.8,5.4597374276679
-0.375,5.625,90,1.8,5.43029953142329
-0.375,5.625,100,1.8,5.54909691069924
0.625,-0.4,10,1.8,4.1340765819084
0.625,-0.4,20,1.8,4.41917016167333
0.625,-0.4,30,1.8,4.16968690129668
0.625,-0.4,40,1.8,229.174930894569
0.625,-0.4,50,1.8,4.15857387210163
0.625,-0.4,60,1.8,4.08814515832866
0.625,-0.4,70,1.8,4.11741769384248
0.625,-0.4,80,1.8,4.18477671644607
0.625,-0.4,90,1.8,4.17413857829654
0.625,-0.4,100,1.8,4.3274947122181
0.625,-0.375,10,1.8,3.60474496921552
0.625,-0.375,20,1.8,3.63996409799467
0.625,-0.375,30,1.8,3.61485408168322
0.625,-0.375,40,1.8,3.59108641724406
0.625,-0.375,50,1.8,3.55340272481234
0.625,-0.375,60,1.8,3.56536166461142
0.625,-0.375,70,1.8,3.59989197144238
0.625,-0.375,80,1.8,3.62763053356708
0.625,-0.375,90,1.8,3.63211478803595
0.625,-0.375,100,1.8,3.64310601246092
0.625,0.625,10,1.8,1.81905206084488
0.625,0.625,20,1.8,1.81056725613366
0.625,0.625,30,1.8,1.79920772751422
0.625,0.625,40,1.8,1.79006949221368
0.625,0.625,50,1.8,308.156162816524
0.625,0.625,60,1.8,1.78638120725741
0.625,0.625,70,1.8,1.80872112100223
0.625,0.625,80,1.8,1.81095314106835
0.625,0.625,90,1.8,1.85128924650802
0.625,0.625,100,1.8,1.82724116412962
0.625,1.625,10,1.8,1.66045131274323
0.625,1.625,20,1.8,1.67058841619753
0.625,1.625,30,1.8,1.65379606356538
0.625,1.625,40,1.8,1.64214071550473
0.625,1.625,50,1.8,1.65207474765434
0.625,1.625,60,1.8,1.63229046369355
0.625,1.625,70,1.8,1.65177494172386
0.625,1.625,80,1.8,1.65232911450394
0.625,1.625,90,1.8,1.67905841681945
0.625,1.625,100,1.8,1.66790306485439
0.625,2.625,10,1.8,1.61550658852324
0.625,2.625,20,1.8,1.61955301480012
0.625,2.625,30,1.8,1.60256542831109
0.625,2.625,40,1.8,1.59199137742675
0.625,2.625,50,1.8,1.56944428067695
0.625,2.625,60,1.8,1.60298574988682
0.625,2.625,70,1.8,1.60595730227212
0.625,2.625,80,1.8,1.62342510384144
0.625,2.625,90,1.8,1.62668057660833
0.625,2.625,100,1.8,69.8179351459508
0.625,3.625,10,1.8,1.60911779630075
0.625,3.625,20,1.8,1.61350767733414
0.625,3.625,30,1.8,1.59472071765501
0.625,3.625,40,1.8,1.57575047404907
0.625,3.625,50,1.8,1.57225700402694
0.625,3.625,60,1.8,1.59000426235547
0.625,3.625,70,1.8,1.58170855241458
0.625,3.625,80,1.8,1.60421492468479
0.625,3.625,90,1.8,1.60484580697034
0.625,3.625,100,1.8,1.61850444008326
0.625,4.625,10,1.8,1.47870528989728
0.625,4.625,20,1.8,1.50064141650095
0.625,4.625,30,1.8,1.46744641567136
0.625,4.625,40,1.8,1.46220427038063
0.625,4.625,50,1.8,1.46000575477543
0.625,4.625,60,1.8,1.45865427003712
0.625,4.625,70,1.8,1.46684945767508
0.625,4.625,80,1.8,1.47150139073214
0.625,4.625,90,1.8,1.53799218239331
0.625,4.625,100,1.8,1.48210747868114
0.625,5.625,10,1.8,1.48305923072774
0.625,5.625,20,1.8,1.47842257810325
0.625,5.625,30,1.8,1.49034807793197
0.625,5.625,40,1.8,1.43538760196131
0.625,5.625,50,1.8,1.46172324990095
0.625,5.625,60,1.8,1.47185865322143
0.625,5.625,70,1.8,1.47186713970179
0.625,5.625,80,1.8,1.4883948206724
0.625,5.625,90,1.8,1.49560592988356
0.625,5.625,100,1.8,1.4821507292333
1.625,-0.4,10,1.8,3.54127664355335
1.625,-0.4,20,1.8,3.5375387939744
1.625,-0.4,30,1.8,3.52993954925757
1.625,-0.4,40,1.8,3.54970383933451
1.625,-0.4,50,1.8,3.50764758338202
1.625,-0.4,60,1.8,3.47817665855122
1.625,-0.4,70,1.8,3.50841493323396
1.625,-0.4,80,1.8,3.57361959977258
1.625,-0.4,90,1.8,3.56248899751176
1.625,-0.4,100,1.8,3.54520118191343
1.625,-0.375,10,1.8,3.04299623226695
1.625,-0.375,20,1.8,3.02548354627401
1.625,-0.375,30,1.8,3.00838342330621
1.625,-0.375,40,1.8,2.99667004561799
1.625,-0.375,50,1.8,2.98142162467504
1.625,-0.375,60,1.8,2.97758043864923
1.625,-0.375,70,1.8,2.98308522399279
1.625,-0.375,80,1.8,2.99926431586339
1.625,-0.375,90,1.8,3.0094978440128
1.625,-0.375,100,1.8,3.02989511021009
1.625,0.625,10,1.8,1.36132141153641
1.625,0.625,20,1.8,1.36521275029523
1.625,0.625,30,1.8,1.35586762577599
1.625,0.625,40,1.8,1.35296976981309
1.625,0.625,50,1.8,1.34627882126946
1.625,0.625,60,1.8,1.33222949314837
1.625,0.625,70,1.8,1.34777471438296
1.625,0.625,80,1.8,1.36580696128977
1.625,0.625,90,1.8,1.3645069434841
1.625,0.625,100,1.8,1.37184616230971
1.625,1.625,10,1.8,1.21873051840985
1.625,1.625,20,1.8,1.22119169735462
1.625,1.625,30,1.8,1.21126671682274
1.625,1.625,40,1.8,1.19718155070452
1.625,1.625,50,1.8,1.19763535068629
1.625,1.625,60,1.8,1.19383725505733
1.625,1.625,70,1.8,1.21341054224025
1.625,1.625,80,1.8,1.22123729665086
1.625,1.625,90,1.8,1.22885198039438
1.625,1.625,100,1.8,1.21362545263546
1.625,2.625,10,1.8,1.1881098666381
1.625,2.625,20,1.8,1.17577776617869
1.625,2.625,30,1.8,1.17754366175297
1.625,2.625,40,1.8,1.17117121356487
1.625,2.625,50,1.8,1.17224058303872
1.625,2.625,60,1.8,1.15860802588183
1.625,2.625,70,1.8,1.17327301711572
1.625,2.625,80,1.8,1.19003063346485
1.625,2.625,90,1.8,1.1958081755903
1.625,2.625,100,1.8,1.19586091972149
