"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","S(1,1) []"
-0.375,-0.4,60,1.8,0.867825884537823 + 0.0306400740309152i
-0.375,-0.4,70,1.8,0.611619770440931 + 0.618520294959256i
-0.375,-0.4,80,1.8,0.0191623476421434 + 0.870483894922349i
-0.375,-0.4,90,1.8,-0.582646936431018 + 0.647401675537237i
-0.375,-0.4,100,1.8,-0.865642129828787 + 0.0765949437242374i
-0.375,-0.375,60,1.8,0.858215144286176 + 0.0494234765806615i
-0.375,-0.375,70,1.8,0.589512767993948 + 0.62711950621791i
-0.375,-0.375,80,1.8,-0.0014444704761003 + 0.86139658685195i
-0.375,-0.375,90,1.8,-0.597184881433373 + 0.621317319440266i
-0.375,-0.375,100,1.8,-0.86054318973634 + 0.0534773242315868i
-0.375,0.625,60,1.8,0.794875805478939 + 0.15124396563509i
-0.375,0.625,70,1.8,0.476817461040398 + 0.656910432938259i
-0.375,0.625,80,1.8,-0.105108347509941 + 0.804734852533187i
-0.375,0.625,90,1.8,-0.628670795238355 + 0.514362685768443i
-0.375,0.625,100,1.8,-0.810552952717876 - 0.0551723685323478i
-0.375,1.625,60,1.8,0.785289111605576 + 0.168490582678598i
-0.375,1.625,70,1.8,0.45736357148895 + 0.663182614189607i
-0.375,1.625,80,1.8,-0.123123760424335 + 0.795400449945664i
-0.375,1.625,90,1.8,-0.635408605457753 + 0.494708936508911i
-0.375,1.625,100,1.8,-0.804070015555122 - 0.0652267634300941i
-0.375,2.625,60,1.8,0.783504484075344 + 0.172835229483288i
-0.375,2.625,70,1.8,0.450738683417616 + 0.665645146300174i
-0.375,2.625,80,1.8,-0.126966450495135 + 0.79355637453031i
-0.375,2.625,90,1.8,-0.63968959833354 + 0.490111882049034i
-0.375,2.625,100,1.8,-0.807551642419161 - 0.0641959259200959i
-0.375,3.625,60,1.8,0.78272029107804 + 0.175319126425771i
-0.375,3.625,70,1.8,0.442344466032667 + 0.666588712856215i
-0.375,3.625,80,1.8,-0.131368635992055 + 0.792860319221277i
-0.375,3.625,90,1.8,-0.638153534090904 + 0.487214066708404i
-0.375,3.625,100,1.8,-0.801693617172665 - 0.0770928299051209i
-0.375,4.625,50,1.8,0.631859080314154 - 0.302697767417765i
-0.375,4.625,60,1.8,0.652733797748498 + 0.219416885801215i
-0.375,4.625,70,1.8,0.325952915554756 + 0.613393152430013i
-0.375,4.625,80,1.8,-0.184083069789168 + 0.675005762087844i
-0.375,4.625,90,1.8,-0.59200082614005 + 0.365148045904104i
-0.375,4.625,100,1.8,-0.682790172263408 - 0.14068611125802i
-0.375,5.625,50,1.8,0.620557934271188 - 0.287829552858682i
-0.375,5.625,60,1.8,0.651503270006881 + 0.219210426741749i
-0.375,5.625,70,1.8,0.32416351445357 + 0.609040896668152i
-0.375,5.625,80,1.8,-0.183861769871453 + 0.665457025748531i
-0.375,5.625,90,1.8,-0.588206944905229 + 0.358741819481617i
-0.375,5.625,100,1.8,-0.680547568619176 - 0.139083241624729i
0.625,-0.4,10,1.8,-0.369379406404088 + 0.486007396444378i
0.625,-0.4,20,1.8,-0.62643197381644 + 0.0752862465754126i
0.625,-0.4,30,1.8,-0.468678811067176 - 0.395307226282975i
0.625,-0.4,40,1.8,-0.715896334528758 - 0.685703908822584i
0.625,-0.4,50,1.8,0.367454711093898 - 0.48977889043145i
0.625,-0.4,60,1.8,0.598751483666277 - 0.099297642818784i
0.625,-0.4,70,1.8,0.505203693121965 + 0.34039231125813i
0.625,-0.4,80,1.8,0.136933281210801 + 0.598797864911709i
0.625,-0.4,90,1.8,-0.312290945642517 + 0.528024876303872i
0.625,-0.4,100,1.8,-0.599365708829712 + 0.175704847769544i
0.625,-0.375,10,1.8,-0.420918423357158 + 0.377895543020764i
0.625,-0.375,20,1.8,-0.568943085000794 - 0.00466161705606235i
0.625,-0.375,30,1.8,-0.405562036284313 - 0.395694439071522i
